2451139|12199|2|15|
2450932|7982|1|131|
2451021|14366|2|230|
2450831|63|2|816|
2451521|16305|5|714|
2451225|10733|5|537|
2451277|14154|3|977|
2450857|974|2|956|
2451047|15285|1|232|
2450911|5215|3|319|
2451310|4603|1|394|
2451355|4515|5|137|
2450975|13056|2|800|
2451029|12988|5|99|
2450864|11596|2|547|
2450943|14750|4|397|
2451020|10556|2|613|
2451288|6854|5|670|
2451501|4144|2|657|
2451511|11353|1|748|
2451121|4995|3|734|
2451332|13101|4|195|
2451405|8304|5|684|
2451331|4163|2|687|
2451036|12410|4|65|
2451287|6563|3|796|
2450953|1229|4|470|
2451172|5796|1|345|
2450888|14109|3|31|
2451525|12643|2|683|
2451320|4567|2|488|
2450856|4982|1|831|
2451474|6285|1|976|
2451474|8370|1|923|
2450940|14670|1|4|
2451273|7724|3|939|
2451244|4548|4|987|
2451108|3839|4|151|
2451504|905|5|500|
2451364|3510|5|956|
2451401|1285|5|504|
2450949|1878|1|151|
2451003|4047|2|296|
2450893|8044|1|399|
2450870|5044|2|29|
2451201|1031|3|524|
2451452|2284|5|569|
2451275|13317|2|597|
2451130|14066|3|62|
2451122|613|5|666|
2451186|14398|5|661|
2451409|4784|5|924|
2451202|13438|4|594|
2451092|1657|1|336|
2451467|17291|3|920|
2451303|13611|5|284|
2451542|4260|4|676|
2451293|6374|5|767|
2451508|10229|1|763|
2451529|17485|4|47|
2451233|8396|2|848|
2450998|9701|1|612|
2451350|4906|2|466|
2451337|3760|3|157|
2451520|16062|3|99|
2451000|1814|2|271|
2451519|11637|2|983|
2451539|5298|5|891|
2451127|3066|2|730|
2451046|6212|2|716|
2451496|9821|3|998|
2450877|10030|4|174|
2451445|15312|3|332|
2450873|17430|5|113|
2451359|13556|1|988|
2450816|3922|4|79|
2451155|9132|5|450|
2451433|1343|4|915|
2451293|563|3|137|
2451434|10777|4|653|
2451409|377|1|431|
2451387|11725|4|135|
2450977|6424|2|872|
2451409|8861|4|637|
2451251|1985|5|0|
2451214|9204|2|236|
2451214|16739|3|926|
2450957|5928|5|147|
2451450|9766|5|150|
2451088|16760|5|21|
2451479|7220|3|427|
2451057|16420|5|922|
2450885|5790|1|149|
2451116|11061|1|674|
2451072|6112|1|248|
2450843|7040|2|34|
2450885|13018|2|241|
2451059|7440|5|842|
2451260|10120|5|679|
2451165|14135|4|811|
2450988|87|2|646|
2451132|3160|2|766|
2450973|3703|2|793|
2450835|16159|4|807|
2451175|7276|3|893|
2450960|2873|3|576|
2450881|14210|5|852|
2451362|5089|4|514|
2450840|14631|1|127|
2451240|17362|4|708|
2450919|14047|1|490|
2451165|9232|5|101|
2450980|8279|4|108|
2450868|13551|2|154|
2451332|15779|5|529|
2451273|4476|2|909|
2451211|4538|5|578|
2451147|4382|4|45|
2451286|12839|1|789|
2451320|9305|5|474|
2450962|9149|4|460|
2451069|15852|5|281|
2451151|1095|4|870|
2450833|17760|5|668|
2450949|16895|2|687|
2450930|3194|3|960|
2450926|14770|1|528|
2451170|501|4|53|
2451013|8920|1|463|
2451148|15775|3|904|
2451308|4632|3|627|
2451494|15199|4|337|
2451332|12663|3|80|
2450818|9842|3|599|
2451119|5815|5|646|
2451290|11094|3|800|
2451243|1531|1|451|
2451119|9076|1|646|
2451308|15565|5|196|
2451090|4996|4|758|
2451237|17105|3|313|
2451377|14693|1|436|
2450992|1578|1|574|
2451529|6128|5|159|
2451192|14290|4|785|
2450871|6762|1|246|
2450977|11167|2|651|
2451270|7079|3|342|
2450857|11878|1|26|
2451393|1227|3|661|
2451038|15584|1|420|
2451052|13528|2|462|
2450873|10244|1|663|
2450900|3727|5|36|
2451088|3846|2|529|
2451166|3523|4|577|
2450849|12836|1|938|
2450849|6663|4|507|
2451441|16067|5|819|
2451406|14719|3|391|
2451195|17196|4|756|
2450951|2561|5|351|
2451334|5613|3|271|
2451490|1057|2|295|
2451326|3992|4|735|
2451377|11851|5|952|
2451203|6801|3|369|
2451436|7896|2|769|
2451013|1321|5|693|
2451506|7946|1|12|
2451495|10677|3|301|
2451124|7792|3|65|
2451269|2837|5|840|
2451470|16540|1|826|
2450897|5601|1|475|
2451520|2770|2|503|
2450990|16635|1|499|
2451318|3038|3|313|
2451485|8575|5|474|
2451133|12288|5|104|
2451138|1650|2|255|
2450958|15861|5|717|
2450917|7034|3|497|
2451317|12028|3|371|
2450829|14446|2|417|
2450833|10873|5|114|
2451092|6078|3|604|
2450960|16223|1|687|
2451337|4282|4|360|
2451107|14223|3|137|
2450824|15132|2|734|
2451236|15084|3|730|
2451288|1976|5|380|
2451492|4678|3|625|
2450973|2625|4|368|
2451298|2558|5|134|
2451014|11605|2|123|
2450959|11341|5|636|
2450916|14245|3|14|
2450909|2102|4|612|
2451281|7137|2|175|
2451420|13257|1|323|
2451144|6923|1|565|
2451166|8819|3|643|
2450956|11354|5|664|
2450905|13365|5|141|
2451092|6277|5|37|
2450873|7412|5|525|
2450903|1142|1|409|
2450912|3842|2|517|
2451321|17573|2|806|
2450917|12650|1|237|
2451270|6996|4|358|
2451052|9306|4|350|
2451097|691|5|335|
2451496|11285|4|223|
2450841|10312|3|807|
2451318|951|5|386|
2450833|15166|2|754|
2451026|3861|2|652|
2451416|267|2|442|
2451120|9801|3|216|
2450983|8270|2|542|
2451345|12955|3|423|
2451264|3179|5|900|
2450935|13030|4|782|
2450819|11034|5|469|
2451526|11359|5|727|
2450961|3210|3|81|
2451334|9744|2|309|
2451419|1626|2|836|
2450954|14663|1|530|
2451360|13253|1|341|
2450877|5372|1|280|
2450872|14122|3|773|
2450825|3990|5|826|
2451352|16295|3|299|
2451135|13212|2|421|
2451376|9624|1|113|
2451294|9078|1|703|
2450967|9215|5|203|
2450856|16279|4|144|
2451414|15000|3|127|
2451532|11365|5|317|
2451018|6218|5|458|
2451505|13201|2|654|
2451470|15710|3|636|
2450960|13424|5|509|
2451427|6405|4|384|
2451181|15588|3|868|
2451103|11714|5|829|
2451397|1867|2|181|
2450915|8376|3|23|
2451295|6915|4|44|
2451243|5794|2|503|
2451480|9306|3|325|
2451359|17127|1|822|
2451441|17359|4|520|
2451275|398|5|445|
2451518|13986|1|891|
2450918|15871|4|273|
2451077|14552|2|91|
2451259|2396|2|319|
2451308|2874|2|316|
2451200|6764|5|853|
2451229|3417|1|677|
2451313|3696|1|601|
2451305|14628|2|246|
2451018|3425|5|978|
2451313|5614|5|120|
2450859|9286|3|160|
2451208|9401|4|736|
2450899|12829|4|478|
2451203|7219|4|351|
2451214|12483|3|582|
2451114|9423|3|465|
2451416|14915|1|626|
2451211|5605|2|694|
2450893|13969|4|178|
2451354|14270|3|414|
2451542|6963|1|900|
2451539|7357|3|758|
2451390|14745|1|725|
2451222|5049|2|175|
2451394|2003|4|402|
2451504|6346|5|123|
2450848|17840|2|680|
2451123|10738|2|720|
2451209|16658|5|130|
2451296|10908|5|406|
2451327|17580|4|950|
2450923|12359|3|290|
2451015|7413|3|31|
2451060|3358|2|124|
2451147|12657|1|70|
2451545|2441|5|456|
2451172|15161|2|573|
2450968|8377|1|290|
2451471|17328|4|148|
2450893|4359|1|384|
2451435|9786|2|23|
2450956|4964|5|749|
2451382|7797|3|278|
2450968|902|3|423|
2451308|14107|3|359|
2450842|936|1|135|
2451504|3424|4|296|
2451214|9325|5|94|
2450857|4664|3|574|
2451332|249|4|440|
2451308|948|4|779|
2450921|14975|3|603|
2450961|5019|1|851|
