2451453|57034|9184|3096388|1370047|5567|5731650|3096388|1370047|5567|5731650|6|9186|5|4|33|1|6|7.88|0.63|8.51|15.00|0.79|6.30|0.79|0.79|15.00|
2450852|79789|2226|2472845|875773|4082|5571991|2472845|875773|4082|5571991|3|6328|18|4|12|1|8|24.51|1.96|26.47|15.00|2.45|19.61|2.45|2.45|15.00|
2450963|77898|15163|5809865|1372268|5057|1243915|5809865|1372268|5057|1243915|6|1722|5|1|17|2|5|43.96|3.52|47.48|15.00|4.40|35.17|4.40|4.40|15.00|
2451139|42854|13860|1041380|1553057|3271|1257101|1041380|1553057|3271|1257101|2|10766|14|1|22|2|2|75.50|6.04|81.54|15.00|7.55|60.40|7.55|7.55|15.00|
2451212|63298|5619|232686|44610|1167|4869489|232686|44610|1167|4869489|2|7343|17|4|14|3|3|11.60|0.93|12.53|15.00|1.16|9.28|1.16|1.16|15.00|
2450836|2141|10703|9896608|67278|6081|5826180|9896608|67278|6081|5826180|6|11479|13|2|33|3|3|68.06|5.44|73.50|15.00|6.81|54.45|6.81|6.81|15.00|
2450892|23873|10223|4155232|1010671|2363|3318052|4155232|1010671|2363|3318052|1|428|18|4|1|4|5|62.69|5.02|67.71|15.00|6.27|50.15|6.27|6.27|15.00|
2451228|1247|10773|591741|1823396|4518|448538|591741|1823396|4518|448538|2|4249|16|4|6|4|3|69.63|5.57|75.20|15.00|6.96|55.70|6.96|6.96|15.00|
2451155|37393|5483|4529075|652721|5337|5972413|4529075|652721|5337|5972413|5|3555|20|4|17|5|6|48.21|3.86|52.07|15.00|4.82|38.57|4.82|4.82|15.00|
2451513|61649|15212|7249702|1516229|2519|220928|7249702|1516229|2519|220928|2|9272|12|4|32|5|5|44.88|3.59|48.47|15.00|4.49|35.90|4.49|4.49|15.00|
2450916|29118|10192|11892898|972508|6612|2499111|11892898|972508|6612|2499111|6|6831|1|2|35|6|8|43.39|3.47|46.86|15.00|4.34|34.71|4.34|4.34|15.00|
2451236|14416|11700|9206343|436124|1698|666275|9206343|436124|1698|666275|4|7684|5|3|30|6|4|27.84|2.23|30.07|15.00|2.78|22.27|2.78|2.78|15.00|
2451532|34733|15805|8640686|33137|1010|5105494|8640686|33137|1010|5105494|1|9496|9|2|28|7|3|95.07|7.61|102.68|15.00|9.51|76.06|9.51|9.51|15.00|
2451027|2254|11009|819607|1206950|1737|3290050|819607|1206950|1737|3290050|2|6411|20|3|1|7|4|70.08|5.61|75.69|15.00|7.01|56.06|7.01|7.01|15.00|
2451245|23782|1633|10610325|104967|1344|4984205|10610325|104967|1344|4984205|2|9438|12|4|13|8|5|31.62|2.53|34.15|15.00|3.16|25.30|3.16|3.16|15.00|
2451081|35004|17795|7627478|1429665|6890|199270|7627478|1429665|6890|199270|3|4802|19|3|11|8|7|36.01|2.88|38.89|15.00|3.60|28.81|3.60|3.60|15.00|
2450885|55955|16676|533477|777595|1069|2752008|533477|777595|1069|2752008|1|6181|15|1|7|9|4|15.02|1.20|16.22|15.00|1.50|12.02|1.50|1.50|15.00|
2451321|65796|10595|9193917|1056196|2727|4765583|9193917|1056196|2727|4765583|6|3872|17|4|26|9|9|94.90|7.59|102.49|15.00|9.49|75.92|9.49|9.49|15.00|
2451533|26449|2817|3097409|1684299|3142|989985|3097409|1684299|3142|989985|6|1865|3|3|8|10|6|56.44|4.52|60.96|15.00|5.64|45.15|5.64|5.64|15.00|
2451099|31371|17562|8609099|79218|5866|2624668|8609099|79218|5866|2624668|2|5249|15|3|3|10|5|26.38|2.11|28.49|15.00|2.64|21.10|2.64|2.64|15.00|
2450909|32138|9936|6412510|506888|4269|817001|6412510|506888|4269|817001|3|785|4|4|30|11|1|32.92|2.63|35.55|15.00|3.29|26.34|3.29|3.29|15.00|
