2451288|23158|2955|3783060|223519|1725|5189123|4|35|1|85|83.97|110.84|99.76|942.14|8479.29|7137.45|9421.43|678.34|0.00|8479.29|9157.63|1341.84|
2451106|488|9241|7059446|1534649|6955|4143141|4|221|1|97|89.52|120.85|112.39|820.59|10902.06|8683.44|11722.64|872.16|0.00|10902.06|11774.22|2218.62|
2451251|85941|8810|2771079|537531|2229|598775|12|71|1|75|0.70|0.97|0.90|5.11|67.87|52.50|72.97|5.43|0.00|67.87|73.30|15.37|
2451400|66727|12131|5648394|1560127|4890|2517921|8|16|1|82|76.59|113.35|113.35|0.00|9294.96|6280.38|9294.96|743.60|0.00|9294.96|10038.56|3014.58|
2451089|26538|14771|1650849|123368|1661|1367804|6|100|2|77|24.14|34.76|29.55|401.50|2275.15|1858.78|2676.64|182.01|0.00|2275.15|2457.16|416.37|
2451033|6284|10138|6255231|785334|277|3647380|12|109|2|91|12.19|13.17|10.93|203.67|994.37|1109.29|1198.03|79.55|0.00|994.37|1073.92|-114.92|
2451027|15372|14355|9810028|73203|3361|3841002|5|73|2|46|55.30|79.08|56.15|1054.91|2582.72|2543.80|3637.63|206.62|0.00|2582.72|2789.34|38.92|
2451365|58655|4967|209234|1104601|4752|2647918|7|122|2|6|52.34|63.33|50.03|79.80|300.19|314.04|379.99|24.02|0.00|300.19|324.21|-13.85|
2451171|34357|3461|1668217|1788605|4505|1927712|4|94|3|44|88.91|101.36|101.36|0.00|4459.73|3912.04|4459.73|356.78|0.00|4459.73|4816.50|547.69|
2450936|26271|10863|7518756|837438|2447|589140|4|279|3|81|89.82|100.60|74.44|2118.60|6029.87|7275.42|8148.47|482.39|0.00|6029.87|6512.26|-1245.55|
2451253|26677|8334|10744824|1226509|3817|337198|9|294|3|1|45.17|50.14|44.62|5.52|44.62|45.17|50.14|3.57|0.00|44.62|48.19|-0.55|
2451268|317|1896|1416949|222695|5410|5124241|6|201|3|29|36.95|51.36|39.03|357.47|1131.99|1071.55|1489.45|90.56|0.00|1131.99|1222.54|60.44|
2451260|1654|6969|11921671|1821890|2877|5719773|11|16|4|40|97.39|143.16|127.42|629.92|5096.61|3895.60|5726.53|407.73|509.66|4586.95|4994.68|691.35|
