1|AAAAAAAAAAAA0001|EXPRESS|GROUND|FedEx|Contract75|
2|AAAAAAAAAAAA0002|REGULAR|GROUND|USPS|Contract75|
3|AAAAAAAAAAAA0003|EXPRESS|GROUND|FedEx|Contract51|
4|AAAAAAAAAAAA0004|EXPRESS|AIR|UPS|Contract100|
5|AAAAAAAAAAAA0005|OVERNIGHT|SEA|Freight|Contract43|
6|AAAAAAAAAAAA0006|OVERNIGHT|AIR|UPS|Contract97|
7|AAAAAAAAAAAA0007|EXPRESS|AIR|DHL|Contract94|
8|AAAAAAAAAAAA0008|EXPRESS|SEA|USPS|Contract47|
9|AAAAAAAAAAAA0009|LIBRARY|SEA|USPS|Contract73|
10|AAAAAAAAAAAA0010|REGULAR|RAIL|Freight|Contract80|
11|AAAAAAAAAAAA0011|NEXT DAY|GROUND|DHL|Contract30|
12|AAAAAAAAAAAA0012|EXPRESS|SEA|DHL|Contract94|
13|AAAAAAAAAAAA0013|REGULAR|UNKNOWN|FedEx|Contract39|
14|AAAAAAAAAAAA0014|NEXT DAY|UNKNOWN|Freight|Contract43|
15|AAAAAAAAAAAA0015|EXPRESS|GROUND|USPS|Contract70|
16|AAAAAAAAAAAA0016|EXPRESS|SEA|FedEx|Contract50|
17|AAAAAAAAAAAA0017|OVERNIGHT|AIR|Freight|Contract84|
18|AAAAAAAAAAAA0018|OVERNIGHT|GROUND|DHL|Contract18|
19|AAAAAAAAAAAA0019|EXPRESS|GROUND|Freight|Contract55|
20|AAAAAAAAAAAA0020|OVERNIGHT|AIR|FedEx|Contract43|
