1|AAAAAAAAAAAA0001||Item description 1 with some details|298.16|238.53|330|Brand#21|73|football|7|Books|83|Manufact#10|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#1|
2|AAAAAAAAAAAA0002||Item description 2 with some details|505.92|404.74|911|Brand#13|28|dresses|1|Children|95|Manufact#10|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#2|
3|AAAAAAAAAAAA0003||Item description 3 with some details|94.70|75.76|456|Brand#21|94|dresses|2|Children|379|Manufact#4|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#3|
4|AAAAAAAAAAAA0004||Item description 4 with some details|194.12|155.30|836|Brand#22|68|science|6|Men|192|Manufact#1|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#4|
5|AAAAAAAAAAAA0005||Item description 5 with some details|481.87|385.50|638|Brand#21|32|toddlers|10|Music|564|Manufact#3|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#5|
6|AAAAAAAAAAAA0006||Item description 6 with some details|779.79|623.83|812|Brand#22|78|shirts|5|Shoes|557|Manufact#6|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#6|
7|AAAAAAAAAAAA0007||Item description 7 with some details|21.44|17.15|484|Brand#21|37|toddlers|9|Jewelry|361|Manufact#4|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#7|
8|AAAAAAAAAAAA0008||Item description 8 with some details|967.29|773.83|779|Brand#21|60|shirts|5|Shoes|651|Manufact#6|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#8|
9|AAAAAAAAAAAA0009||Item description 9 with some details|404.63|323.70|717|Brand#11|43|dresses|4|Sports|920|Manufact#10|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#9|
10|AAAAAAAAAAAA0010||Item description 10 with some details|826.57|661.26|396|Brand#21|13|shirts|4|Children|927|Manufact#2|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#10|
11|AAAAAAAAAAAA0011||Item description 11 with some details|635.30|508.24|809|Brand#21|87|science|6|Home|972|Manufact#4|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#11|
12|AAAAAAAAAAAA0012||Item description 12 with some details|196.43|157.14|65|Brand#12|38|athletic|7|Jewelry|888|Manufact#3|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#12|
13|AAAAAAAAAAAA0013||Item description 13 with some details|985.62|788.50|695|Brand#11|75|portable|10|Home|926|Manufact#10|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#13|
14|AAAAAAAAAAAA0014||Item description 14 with some details|772.64|618.11|809|Brand#22|51|portable|3|Sports|539|Manufact#1|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#14|
15|AAAAAAAAAAAA0015||Item description 15 with some details|834.24|667.39|492|Brand#22|17|classical|2|Jewelry|184|Manufact#5|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#15|
16|AAAAAAAAAAAA0016||Item description 16 with some details|908.84|727.07|902|Brand#12|38|rings|4|Music|351|Manufact#3|Medium|01oz 02oz 03oz|Unknown|Each|N/A|Product#16|
