1|AAAAAAAAAAAA0001|Wrong item|
2|AAAAAAAAAAAA0002|Gift exchange|
3|AAAAAAAAAAAA0003|Changed mind|
4|AAAAAAAAAAAA0004|Found better price|
5|AAAAAAAAAAAA0005|Duplicate purchase|
6|AAAAAAAAAAAA0006|Not as described|
7|AAAAAAAAAAAA0007|Damaged in shipping|
8|AAAAAAAAAAAA0008|Arrived too late|
9|AAAAAAAAAAAA0009|Quality issues|
10|AAAAAAAAAAAA0010|Wrong size|
11|AAAAAAAAAAAA0011|Missing parts|
12|AAAAAAAAAAAA0012|Incompatible|
13|AAAAAAAAAAAA0013|Better alternative|
14|AAAAAAAAAAAA0014|No longer needed|
15|AAAAAAAAAAAA0015|Budget constraints|
16|AAAAAAAAAAAA0016|Gift recipient didn't like|
17|AAAAAAAAAAAA0017|Product expired|
18|AAAAAAAAAAAA0018|Recalled product|
19|AAAAAAAAAAAA0019|Customer service issue|
20|AAAAAAAAAAAA0020|Website error|
21|AAAAAAAAAAAA0021|Pricing error|
22|AAAAAAAAAAAA0022|Shipping delay|
23|AAAAAAAAAAAA0023|Package lost|
24|AAAAAAAAAAAA0024|Customs issues|
25|AAAAAAAAAAAA0025|Weather delay|
26|AAAAAAAAAAAA0026|Inventory shortage|
27|AAAAAAAAAAAA0027|Backorder cancellation|
28|AAAAAAAAAAAA0028|Subscription cancelled|
29|AAAAAAAAAAAA0029|Trial period ended|
30|AAAAAAAAAAAA0030|Warranty claim|
31|AAAAAAAAAAAA0031|Product recall|
32|AAAAAAAAAAAA0032|Manufacturer defect|
33|AAAAAAAAAAAA0033|Safety concern|
34|AAAAAAAAAAAA0034|Regulatory compliance|
35|AAAAAAAAAAAA0035|Defective product|
