2450893|68435|2450916|11630185|853722|3983|3481540|11630185|853722|3983|3481540|6|5237|18|2|16699|213|1|%!f(int=32)|55.57|75.58|72.55|96.74|2321.67|1778.24|2418.41|185.73|232.17|116.08|2089.50|2275.24|2205.59|2391.32|
%!(EXTRA float64=311.26312959999973)2451180|53471|2451191|4716445|1223311|1169|1391219|4716445|1223311|1169|1391219|4|6636|8|5|13553|166|1|%!f(int=48)|88.96|112.09|94.16|860.85|4519.45|4270.08|5380.30|361.56|0.00|225.97|4519.45|4881.01|4745.43|5106.98|
%!(EXTRA float64=249.3726719999995)2451051|50291|2451053|8792183|554340|5063|2371642|8792183|554340|5063|2371642|1|10261|20|3|2053|211|1|%!f(int=01)|48.00|63.36|49.42|13.94|49.42|48.00|63.36|3.95|0.00|2.47|49.42|53.37|51.89|55.85|
%!(EXTRA float64=1.4207999999999998)2451014|79364|2451015|5925542|49073|4976|5835515|5925542|49073|4976|5835515|3|4105|10|5|5952|10|2|%!f(int=43)|50.97|73.91|71.69|95.34|3082.64|2191.71|3177.98|246.61|308.26|154.13|2774.38|3020.99|2928.51|3175.12|
%!(EXTRA float64=582.6661034999997)2451203|22165|2451220|810213|640091|28|4695711|810213|640091|28|4695711|1|2293|2|1|4562|49|2|%!f(int=16)|2.06|2.76|2.54|3.53|40.63|32.96|44.17|3.25|0.00|2.03|40.63|43.88|42.66|45.92|
%!(EXTRA float64=7.673088000000007)2450872|10401|2450874|4198209|188552|159|1518658|4198209|188552|159|1518658|5|2307|11|5|17510|255|2|%!f(int=25)|3.11|3.55|3.16|9.75|78.89|77.75|88.64|6.31|0.00|3.94|78.89|85.20|82.83|89.14|
%!(EXTRA float64=1.13515000000001)2451257|15666|2451284|3284864|1542341|3037|5591361|3284864|1542341|3037|5591361|4|7972|10|1|5674|48|3|%!f(int=32)|88.17|109.33|102.77|209.92|3288.67|2821.44|3498.59|263.09|0.00|164.43|3288.67|3551.76|3453.10|3716.20|
%!(EXTRA float64=467.23046399999976)2451329|49282|2451356|9350045|1452385|1695|273214|9350045|1452385|1695|273214|2|8130|7|1|8370|149|3|%!f(int=18)|9.73|13.43|12.35|19.34|222.36|175.14|241.69|17.79|0.00|11.12|222.36|240.15|233.48|251.26|
%!(EXTRA float64=47.21774399999995)2451012|30800|2451040|11815122|320095|3225|453259|11815122|320095|3225|453259|3|9043|2|4|14402|137|3|%!f(int=21)|86.52|118.53|96.01|472.94|2016.24|1816.92|2489.18|161.30|0.00|100.81|2016.24|2177.54|2117.05|2278.35|
%!(EXTRA float64=199.31612400000063)2451232|55765|2451234|9933542|481969|4379|4367401|9933542|481969|4379|4367401|3|768|11|4|13209|247|4|%!f(int=24)|63.83|80.43|62.73|424.65|1505.57|1531.92|1930.22|120.45|0.00|75.28|1505.57|1626.02|1580.85|1701.30|
%!(EXTRA float64=-26.3490240000001)2451487|33568|2451497|9392217|315085|4494|3756954|9392217|315085|4494|3756954|4|4191|15|4|4469|260|4|%!f(int=02)|8.93|9.47|8.33|2.27|16.66|17.86|18.93|1.33|0.00|0.83|16.66|17.99|17.49|18.83|
%!(EXTRA float64=-1.2001920000000013)2451253|70707|2451267|3237195|1158098|4373|4676202|3237195|1158098|4373|4676202|2|3597|1|4|7938|42|4|%!f(int=48)|84.51|85.36|75.97|450.67|3646.37|4056.48|4097.04|291.71|0.00|182.32|3646.37|3938.08|3828.69|4120.40|
%!(EXTRA float64=-410.11012800000026)2451110|53957|2451130|5741207|1276379|3686|3536172|5741207|1276379|3686|3536172|2|3303|5|5|14617|205|5|%!f(int=37)|66.37|92.92|91.99|34.38|3403.59|2455.69|3437.97|272.29|0.00|170.18|3403.59|3675.87|3573.77|3846.05|
%!(EXTRA float64=947.8963400000002)2450936|10546|2450956|3079901|925766|6128|915261|3079901|925766|6128|915261|3|9502|20|2|6618|253|5|%!f(int=36)|32.11|41.42|33.14|298.24|1192.95|1155.96|1491.19|95.44|0.00|59.65|1192.95|1288.39|1252.60|1348.03|
%!(EXTRA float64=36.99072000000001)2450918|86182|2450927|8096249|373163|3124|1758156|8096249|373163|3124|1758156|3|3909|5|1|1440|151|5|%!f(int=49)|95.56|128.05|125.49|125.49|6148.98|4682.44|6274.47|491.92|0.00|307.45|6148.98|6640.90|6456.43|6948.35|
%!(EXTRA float64=1466.5402080000003)2451162|24187|2451177|1332410|196652|1268|2953936|1332410|196652|1268|2953936|1|8850|7|2|11668|36|6|%!f(int=03)|84.65|98.19|98.19|0.00|294.58|253.95|294.58|23.57|29.46|14.73|265.12|288.69|279.85|303.42|
%!(EXTRA float64=11.1738)2451214|67614|2451234|7145146|1656160|5252|3903399|7145146|1656160|5252|3903399|5|7816|3|1|315|134|6|%!f(int=21)|42.65|52.03|36.94|316.88|775.81|895.65|1092.69|62.06|0.00|38.79|775.81|837.88|814.60|876.67|
%!(EXTRA float64=-119.83797000000015)2451173|29079|2451197|2529338|223017|5699|2128837|2529338|223017|5699|2128837|2|8779|14|1|7264|158|6|%!f(int=42)|67.91|84.89|76.40|356.53|3208.75|2852.22|3565.27|256.70|0.00|160.44|3208.75|3465.45|3369.18|3625.88|
%!(EXTRA float64=356.5274999999997)2451270|38822|2451294|2191388|927740|3315|3235406|2191388|927740|3315|3235406|6|3675|3|2|5368|46|7|%!f(int=14)|71.15|74.71|58.27|230.10|815.81|996.10|1045.91|65.26|0.00|40.79|815.81|881.07|856.60|921.86|
%!(EXTRA float64=-180.29410000000007)2451350|20530|2451375|3090250|1738175|6249|3986163|3090250|1738175|6249|3986163|6|3636|17|2|8902|167|7|%!f(int=47)|8.70|12.27|10.43|86.48|490.07|408.90|576.55|39.21|49.01|24.50|441.06|480.27|465.56|504.77|
%!(EXTRA float64=32.15998499999995)2451467|65337|2451467|8094642|628286|2976|1221705|8094642|628286|2976|1221705|4|7288|16|2|8699|231|7|%!f(int=29)|3.91|5.63|5.63|0.00|163.28|113.39|163.28|13.06|0.00|8.16|163.28|176.34|171.45|184.51|
%!(EXTRA float64=49.8916)2451101|79616|2451101|8628088|54789|4931|3905170|8628088|54789|4931|3905170|4|9930|15|3|991|167|8|%!f(int=12)|74.08|81.49|66.01|185.79|792.06|888.96|977.86|63.37|79.21|39.60|712.86|776.22|752.46|815.83|
%!(EXTRA float64=-176.102976)2450856|74594|2450863|10603086|995297|4902|4469520|10603086|995297|4902|4469520|3|4022|13|1|1674|286|8|%!f(int=01)|93.94|108.97|107.88|1.09|107.88|93.94|108.97|8.63|0.00|5.39|107.88|116.51|113.27|121.91|
%!(EXTRA float64=13.940695999999988)2451203|17001|2451207|4078343|60512|4416|1467443|4078343|60512|4416|1467443|5|5731|4|5|3979|6|8|%!f(int=29)|31.64|46.51|34.42|350.69|998.12|917.56|1348.81|79.85|0.00|49.91|998.12|1077.97|1048.03|1127.88|
%!(EXTRA float64=80.56176800000014)2451414|100|2451430|8489193|1289803|1120|387991|8489193|1289803|1120|387991|1|10821|3|4|7042|236|9|%!f(int=42)|24.72|33.87|31.16|113.79|1308.60|1038.24|1422.39|104.69|0.00|65.43|1308.60|1413.29|1374.03|1478.72|
%!(EXTRA float64=270.35769600000003)2451118|28778|2451128|8977540|139736|951|1875352|8977540|139736|951|1875352|3|7452|5|5|1460|137|9|%!f(int=33)|83.72|108.84|108.84|0.00|3591.59|2762.76|3591.59|287.33|0.00|179.58|3591.59|3878.92|3771.17|4058.49|
%!(EXTRA float64=828.828)2450985|82741|2450995|1517278|1389444|1900|5987206|1517278|1389444|1900|5987206|2|11372|3|3|11592|151|9|%!f(int=26)|85.37|102.44|92.20|266.35|2397.19|2219.62|2663.54|191.78|0.00|119.86|2397.19|2588.96|2517.05|2708.82|
%!(EXTRA float64=177.56960000000026)2450889|3859|2450914|1417141|1306643|4543|228681|1417141|1306643|4543|228681|6|3831|2|2|5307|171|10|%!f(int=37)|80.57|99.91|86.92|480.55|3216.00|2981.09|3696.55|257.28|0.00|160.80|3216.00|3473.28|3376.80|3634.08|
%!(EXTRA float64=234.90989200000013)2451440|70644|2451456|4171674|310580|4277|4183010|4171674|310580|4277|4183010|1|4366|8|5|14093|33|10|%!f(int=21)|51.90|56.05|46.52|200.11|976.99|1089.90|1177.09|78.16|0.00|48.85|976.99|1055.15|1025.84|1103.99|
%!(EXTRA float64=-112.91363999999987)2451284|32445|2451303|6703478|493827|6537|345786|6703478|493827|6537|345786|4|3413|10|4|15|220|10|%!f(int=06)|20.64|29.31|27.84|8.79|167.06|123.84|175.85|13.36|0.00|8.35|167.06|180.42|175.41|188.78|
%!(EXTRA float64=43.22015999999999)2451531|17405|2451547|1288995|390084|1146|2742325|1288995|390084|1146|2742325|1|9140|10|5|8781|268|11|%!f(int=27)|76.90|95.36|94.40|25.75|2548.87|2076.30|2574.61|203.91|0.00|127.44|2548.87|2752.78|2676.31|2880.22|
%!(EXTRA float64=472.5658800000001)2450941|31630|2450953|10032597|734400|4571|5991180|10032597|734400|4571|5991180|1|8403|9|1|6526|165|11|%!f(int=22)|36.54|49.33|36.50|282.16|803.08|803.88|1085.24|64.25|0.00|40.15|803.08|867.32|843.23|907.48|
%!(EXTRA float64=-0.8038800000000492)2451154|238|2451167|2074730|815675|2804|1125854|2074730|815675|2804|1125854|2|64|10|3|746|131|11|%!f(int=02)|85.13|95.35|88.67|13.35|177.34|170.26|190.69|14.19|0.00|8.87|177.34|191.53|186.21|200.40|
%!(EXTRA float64=7.082816000000008)2451502|54714|2451524|2129893|599270|4797|3057115|2129893|599270|4797|3057115|2|10874|4|3|11630|159|12|%!f(int=25)|38.03|53.24|53.24|0.00|1331.05|950.75|1331.05|106.48|0.00|66.55|1331.05|1437.53|1397.60|1504.09|
%!(EXTRA float64=380.29999999999995)2451054|38244|2451077|8659062|707500|914|3203301|8659062|707500|914|3203301|5|4995|13|3|14337|37|12|%!f(int=48)|79.72|111.61|99.33|589.29|4767.89|3826.56|5357.18|381.43|0.00|238.39|4767.89|5149.33|5006.29|5387.72|
%!(EXTRA float64=941.33376)2451127|1085|2451131|8203143|213185|2360|278547|8203143|213185|2360|278547|2|5023|2|3|14348|293|12|%!f(int=37)|93.90|123.95|99.16|917.22|3668.86|3474.30|4586.08|293.51|0.00|183.44|3668.86|3962.37|3852.30|4145.81|
%!(EXTRA float64=194.5608000000002)2450983|75493|2450998|3837125|1717888|226|2186141|3837125|1717888|226|2186141|4|2673|2|4|13977|120|13|%!f(int=03)|99.07|138.70|105.41|99.86|316.23|297.21|416.09|25.30|0.00|15.81|316.23|341.53|332.04|357.34|
%!(EXTRA float64=19.021439999999927)2451224|20003|2451246|3031313|1850124|1392|4645037|3031313|1850124|1392|4645037|2|11538|9|1|6017|13|13|%!f(int=30)|69.91|99.97|97.97|59.98|2939.16|2097.30|2999.14|235.13|0.00|146.96|2939.16|3174.29|3086.11|3321.25|
%!(EXTRA float64=841.8562199999997)2451260|7604|2451289|3196059|176224|4968|1466904|3196059|176224|4968|1466904|1|4698|1|4|16843|119|13|%!f(int=27)|19.32|28.40|20.45|214.71|552.10|521.64|766.81|44.17|0.00|27.61|552.10|596.27|579.71|623.88|
%!(EXTRA float64=30.463776000000053)2451053|76584|2451072|2356441|1809464|5554|4480702|2356441|1809464|5554|4480702|5|9664|3|5|9039|64|14|%!f(int=22)|74.59|99.95|93.95|131.93|2066.98|1640.98|2198.91|165.36|0.00|103.35|2066.98|2232.34|2170.33|2335.69|
%!(EXTRA float64=425.9984079999999)2451251|43640|2451276|2485143|1261221|3279|2275565|2485143|1261221|3279|2275565|6|6559|1|5|15311|280|14|%!f(int=39)|34.94|42.98|34.81|318.45|1357.62|1362.66|1676.07|108.61|0.00|67.88|1357.62|1466.23|1425.50|1534.11|
%!(EXTRA float64=-5.0418419999998605)2451483|4714|2451497|9150520|1191048|478|5419647|9150520|1191048|478|5419647|2|3749|19|5|236|140|14|%!f(int=41)|71.91|99.95|70.97|1188.46|2909.69|2948.31|4098.15|232.77|0.00|145.48|2909.69|3142.46|3055.17|3287.95|
%!(EXTRA float64=-38.62286099999983)2451370|18238|2451393|840507|520901|2977|4995543|840507|520901|2977|4995543|6|7600|14|3|14254|187|15|%!f(int=25)|46.72|62.60|51.34|281.72|1283.40|1168.00|1565.12|102.67|0.00|64.17|1283.40|1386.07|1347.57|1450.24|
%!(EXTRA float64=115.39840000000027)2451519|60614|2451544|1015896|500176|6486|3014882|1015896|500176|6486|3014882|4|559|14|3|3171|177|15|%!f(int=11)|56.60|74.71|62.76|131.49|690.34|622.60|821.83|55.23|0.00|34.52|690.34|745.57|724.86|780.08|
