2451168|53783|7840|8567392|910980|2132|2932802|8567392|910980|2132|2932802|12|25|1|1|21.86|1.75|23.61|12.00|2.19|17.49|2.19|2.19|12.00|
2451339|52935|5351|5778694|238911|948|5003284|5778694|238911|948|5003284|44|8|1|3|88.93|7.11|96.04|12.00|8.89|71.14|8.89|8.89|12.00|
2450890|66415|88|7208779|1839267|2072|1387216|7208779|1839267|2072|1387216|9|12|2|10|26.40|2.11|28.51|12.00|2.64|21.12|2.64|2.64|12.00|
2451373|73724|623|7379388|270506|3920|5191224|7379388|270506|3920|5191224|22|30|2|10|1.61|0.13|1.74|12.00|0.16|1.29|0.16|0.16|12.00|
2451386|28483|3952|8572683|1416542|5072|120463|8572683|1416542|5072|120463|2|16|3|1|51.83|4.15|55.98|12.00|5.18|41.46|5.18|5.18|12.00|
2451174|31065|21|4634074|331663|4329|1595127|4634074|331663|4329|1595127|45|11|3|4|80.72|6.46|87.18|12.00|8.07|64.58|8.07|8.07|12.00|
2451306|80030|17264|4752678|618603|5325|1153710|4752678|618603|5325|1153710|29|22|4|5|95.92|7.67|103.59|12.00|9.59|76.74|9.59|9.59|12.00|
2451410|54847|7219|2825772|283115|455|5583160|2825772|283115|455|5583160|44|31|4|6|74.63|5.97|80.60|12.00|7.46|59.70|7.46|7.46|12.00|
2451140|11671|3349|672990|1781177|2536|1290202|672990|1781177|2536|1290202|10|32|5|3|27.97|2.24|30.21|12.00|2.80|22.38|2.80|2.80|12.00|
2451451|55546|15174|10876863|496739|7127|441618|10876863|496739|7127|441618|7|4|5|6|20.55|1.64|22.19|12.00|2.06|16.44|2.06|2.06|12.00|
2451183|38230|17962|10855972|607943|2386|225656|10855972|607943|2386|225656|40|21|6|9|52.23|4.18|56.41|12.00|5.22|41.78|5.22|5.22|12.00|
2450851|79630|14428|29830|398810|4287|952160|29830|398810|4287|952160|33|30|6|1|74.10|5.93|80.03|12.00|7.41|59.28|7.41|7.41|12.00|
2450872|73990|16370|1411479|1187809|2759|5252654|1411479|1187809|2759|5252654|41|5|7|2|55.10|4.41|59.51|12.00|5.51|44.08|5.51|5.51|12.00|
2451366|77046|13140|9852340|1436208|1557|1880836|9852340|1436208|1557|1880836|11|22|7|6|14.24|1.14|15.38|12.00|1.42|11.39|1.42|1.42|12.00|
2451026|23987|1315|1987686|255878|2382|5022168|1987686|255878|2382|5022168|39|11|8|9|44.14|3.53|47.67|12.00|4.41|35.31|4.41|4.41|12.00|
2451031|17821|17973|2152500|1121367|2968|1393931|2152500|1121367|2968|1393931|42|1|8|9|88.44|7.08|95.52|12.00|8.84|70.75|8.84|8.84|12.00|
