2451530|7593|4077|1553874|558956|976|1415846|6|21|1|2|85.89|6.87|92.76|10.00|8.59|68.71|8.59|8.59|10.00|
2451257|73300|2250|9407234|976457|6414|3043157|5|1|1|4|58.55|4.68|63.23|10.00|5.86|46.84|5.86|5.86|10.00|
2451299|16907|17167|6024097|950782|5281|5170073|5|28|2|2|32.88|2.63|35.51|10.00|3.29|26.30|3.29|3.29|10.00|
2451050|70470|16867|8078908|319103|2750|4001256|11|20|2|4|74.98|6.00|80.98|10.00|7.50|59.98|7.50|7.50|10.00|
2451210|23026|15220|10063774|1739899|2667|5348900|8|30|3|4|60.44|4.84|65.28|10.00|6.04|48.35|6.04|6.04|10.00|
2451012|18297|4671|1233688|1075413|5450|805624|1|35|3|1|46.46|3.72|50.18|10.00|4.65|37.17|4.65|4.65|10.00|
2450930|37401|11680|674537|1374758|3716|1362361|7|31|4|5|25.23|2.02|27.25|10.00|2.52|20.18|2.52|2.52|10.00|
2450968|48151|9063|8708136|1714589|3219|4828332|12|29|4|8|40.60|3.25|43.85|10.00|4.06|32.48|4.06|4.06|10.00|
2451288|2895|5026|5661533|558133|5546|1284017|4|28|5|4|54.58|4.37|58.95|10.00|5.46|43.66|5.46|5.46|10.00|
2451358|51911|526|11974411|1339092|1152|4880254|10|29|5|10|86.04|6.88|92.92|10.00|8.60|68.83|8.60|8.60|10.00|
2451058|49519|8422|1298998|1793618|5596|838430|1|17|6|6|75.71|6.06|81.77|10.00|7.57|60.57|7.57|7.57|10.00|
2451413|76929|2958|9010084|618943|869|3853344|10|33|6|2|46.68|3.73|50.41|10.00|4.67|37.34|4.67|4.67|10.00|
2451307|20735|6160|5329228|1274291|5949|5855016|9|21|7|1|13.23|1.06|14.29|10.00|1.32|10.58|1.32|1.32|10.00|
2451152|53496|13347|522411|370435|1879|876244|2|26|7|9|63.31|5.06|68.37|10.00|6.33|50.65|6.33|6.33|10.00|
2450908|75104|17578|11147283|213002|776|4273863|3|30|8|6|45.62|3.65|49.27|10.00|4.56|36.50|4.56|4.56|10.00|
2451384|79183|9239|5357912|1898511|3654|4363743|2|15|8|3|10.90|0.87|11.77|10.00|1.09|8.72|1.09|1.09|10.00|
2451114|51068|8723|10654082|558537|3988|3493818|10|25|9|8|53.84|4.31|58.15|10.00|5.38|43.07|5.38|5.38|10.00|
2451407|38101|1348|5511965|1821351|1774|266541|3|12|9|9|81.04|6.48|87.52|10.00|8.10|64.83|8.10|8.10|10.00|
2450993|37916|4258|4757380|1677239|4705|573680|3|10|10|8|46.10|3.69|49.79|10.00|4.61|36.88|4.61|4.61|10.00|
2451161|78035|12706|3622807|1029189|6628|363180|12|29|10|10|12.97|1.04|14.01|10.00|1.30|10.38|1.30|1.30|10.00|
2450862|76918|11152|7640415|1469530|5751|4459295|5|27|11|1|27.98|2.24|30.22|10.00|2.80|22.38|2.80|2.80|10.00|
2451223|16210|11438|11955331|277573|1893|2814000|1|21|11|7|1.25|0.10|1.35|10.00|0.12|1.00|0.12|0.12|10.00|
2451413|78876|208|10792074|865784|2033|76826|12|24|12|6|71.26|5.70|76.96|10.00|7.13|57.01|7.13|7.13|10.00|
2451099|40050|8735|11433881|392335|3761|5298979|4|6|12|3|72.20|5.78|77.98|10.00|7.22|57.76|7.22|7.22|10.00|
2451349|29608|10442|8792049|1349925|6525|1356060|5|19|13|3|87.54|7.00|94.54|10.00|8.75|70.03|8.75|8.75|10.00|
